City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chichli,22.8333,78.8167,71.58,20,0,1.03,IN,1614786819
Punta Arenas,-53.15,-70.9167,57.2,54,40,6.91,CL,1614786518
Barrow,71.2906,-156.7887,-14.8,76,90,12.66,US,1614786550
Dingle,10.9995,122.6711,75.2,88,18,6.46,PH,1614786567
Busselton,-33.65,115.3333,71.01,88,100,5.01,AU,1614786407
Kaitangata,-46.2817,169.8464,52.0,80,30,9.66,NZ,1614786820
Champerico,14.3,-91.9167,84.2,61,40,6.06,GT,1614786821
Arraial do Cabo,-22.9661,-42.0278,91.4,62,40,17.27,BR,1614786821
Havelock,34.8791,-76.9013,51.01,61,90,13.8,US,1614786528
Bluff,-46.6,168.3333,53.01,80,63,15.01,NZ,1614786821
New Norfolk,-42.7826,147.0587,57.99,77,100,1.01,AU,1614786822
Tiksi,71.6872,128.8694,-19.89,88,100,8.34,RU,1614786822
Saint-Philippe,-21.3585,55.7679,78.8,83,0,21.85,RE,1614786593
Klaksvík,62.2266,-6.589,39.2,81,75,13.8,FO,1614786823
Yatou,37.15,122.3833,39.42,81,77,11.05,CN,1614786823
Būkān,36.521,46.2089,44.4,65,46,10.18,IR,1614786823
Nanortalik,60.1432,-45.2371,38.55,74,74,20.76,GL,1614786824
Fukuechō,32.6881,128.8419,51.44,59,58,7.78,JP,1614786824
Hermanus,-34.4187,19.2345,73.99,72,0,5.01,ZA,1614786531
Mataura,-46.1927,168.8643,53.01,80,36,15.99,NZ,1614786523
Avera,33.194,-82.5271,48.2,71,90,9.22,US,1614786611
Bredasdorp,-34.5322,20.0403,82.4,36,0,14.97,ZA,1614786474
Carnarvon,-24.8667,113.6333,75.2,83,0,5.75,AU,1614786507
Cape Town,-33.9258,18.4232,78.8,47,20,12.66,ZA,1614786305
Alto Araguaia,-17.3147,-53.2153,80.91,66,45,11.23,BR,1614786649
Dikson,73.5069,80.5464,-24.27,78,31,10.16,RU,1614786613
Zvishavane,-20.3267,30.0665,70.79,73,35,6.24,ZW,1614786826
Carson City,39.1638,-119.7674,34.0,54,1,1.25,US,1614786826
Ribeira Grande,38.5167,-28.7,60.8,82,75,12.66,PT,1614786571
Amapá,1.0,-52.0,82.63,75,78,4.09,BR,1614786827
Juliaca,-15.5,-70.1333,55.4,54,40,3.44,PE,1614786827
Bilibino,68.0546,166.4372,-12.24,78,100,4.9,RU,1614786828
Paramonga,-10.6667,-77.8333,78.67,62,73,9.98,PE,1614786828
Castro,-24.7911,-50.0119,74.97,72,98,2.66,BR,1614786574
Cravo Norte,6.3017,-70.2041,94.24,31,24,11.72,CO,1614786828
Leningradskiy,69.3833,178.4167,-20.97,83,4,9.71,RU,1614786661
Khatanga,71.9667,102.5,-37.62,79,0,6.17,RU,1614786468
Yellowknife,62.456,-114.3525,-5.01,77,20,6.91,CA,1614786382
Guangzhou,23.1167,113.25,64.0,72,90,4.47,CN,1614786581
Libertador General San Martín,-23.8064,-64.7876,84.99,70,73,1.99,AR,1614786830
Lenger,42.183,69.8839,41.0,87,75,4.47,KZ,1614786738
Dhārchula,29.85,80.5333,57.45,35,60,4.7,IN,1614786830
Hilo,19.7297,-155.09,66.2,88,90,8.05,US,1614786398
Kahului,20.8947,-156.47,66.99,72,1,8.05,US,1614786628
Agadez,19.75,10.25,84.24,6,0,8.95,NE,1614786831
Bubaque,11.2833,-15.8333,78.64,68,0,11.74,GW,1614786831
Jalu,29.0331,21.5482,64.67,23,0,11.3,LY,1614786831
Port Alfred,-33.5906,26.891,72.0,89,62,4.0,ZA,1614786435
Lebu,-37.6167,-73.65,64.99,63,5,17.34,CL,1614786698
Strezhevoy,60.7333,77.5889,15.8,86,90,13.42,RU,1614786832
Ushuaia,-54.8,-68.3,51.8,62,40,3.04,AR,1614786350
Honningsvåg,70.9821,25.9704,28.4,54,75,17.27,NO,1614786445
Chervone,49.9564,28.8645,35.53,83,30,6.55,UA,1614786833
Rikitea,-23.1203,-134.9692,78.48,75,14,8.59,PF,1614786471
Saldanha,-33.0117,17.9442,75.2,53,2,14.97,ZA,1614786834
Hithadhoo,-0.6,73.0833,82.71,70,2,14.18,MV,1614786537
Coyhaique,-45.5752,-72.0662,62.6,67,75,4.61,CL,1614786834
Itarema,-2.9248,-39.9167,85.23,67,90,13.69,BR,1614786537
Souillac,-20.5167,57.5167,78.8,83,20,3.44,MU,1614786835
Quatre Cocos,-20.2078,57.7625,80.01,83,20,3.44,MU,1614786519
Upernavik,72.7868,-56.1549,25.43,97,100,23.78,GL,1614786488
Clyde River,70.4692,-68.5914,-9.4,64,20,18.41,CA,1614786600
Wanning,18.8003,110.3967,71.38,92,19,4.94,CN,1614786836
Rzhaksa,52.1338,42.0264,21.69,97,75,9.57,RU,1614786836
Tasiilaq,65.6145,-37.6368,24.8,50,75,19.57,GL,1614786537
Faanui,-16.4833,-151.75,82.63,74,93,9.15,PF,1614786837
Kabarnet,0.4919,35.743,77.0,25,75,5.75,KE,1614786837
Toamasina,-18.1667,49.3833,79.81,72,17,2.55,MG,1614786837
Dudinka,69.4058,86.1778,-20.29,76,32,9.71,RU,1614786838
São José da Coroa Grande,-8.8978,-35.1478,83.7,68,17,12.1,BR,1614786651
Vaini,-21.2,-175.2,77.0,94,75,6.91,TO,1614786474
Camacha,33.0833,-16.3333,64.4,59,20,8.05,PT,1614786526
Vardø,70.3705,31.1107,28.4,69,40,24.16,NO,1614786686
Arrondissement de Bastia,42.6667,9.3333,59.0,72,0,5.75,FR,1614786839
Albany,42.6001,-73.9662,39.99,39,9,1.01,US,1614786429
Vanavara,60.34,102.2797,-32.15,83,0,1.39,RU,1614786840
Karratha,-20.7377,116.8463,80.64,65,17,8.9,AU,1614786544
Saint Anthony,45.0205,-93.218,37.4,75,1,6.91,US,1614786534
Ust-Kuyga,70.0167,135.6,-26.16,97,100,6.04,RU,1614786840
Salalah,17.0151,54.0924,78.8,73,0,4.61,OM,1614786675
Chokurdakh,70.6333,147.9167,-31.23,84,100,7.49,RU,1614786573
Avarua,-21.2078,-159.775,73.4,100,98,2.3,CK,1614786592
Ternate,0.8,127.4,80.78,79,96,8.43,ID,1614786614
Ambon City,-3.6954,128.1814,80.6,78,40,1.14,ID,1614786841
Inhambane,-23.865,35.3833,77.05,88,20,11.81,MZ,1614786547
Kapaa,22.0752,-159.319,69.01,83,90,24.16,US,1614786546
Hobart,-42.8794,147.3294,61.0,63,40,20.71,AU,1614786533
Pacific Grove,36.6177,-121.9166,48.0,71,1,1.66,US,1614786756
George Town,5.4112,100.3354,82.0,89,20,2.3,MY,1614786428
Kentau,43.5206,68.5094,35.76,62,72,1.19,KZ,1614786843
Sherlovaya Gora,50.5667,116.25,9.97,98,100,4.81,RU,1614786843
Raychikhinsk,49.7838,129.4121,8.62,96,100,8.23,RU,1614786843
San Jose,37.3394,-121.895,48.99,71,90,4.61,US,1614786736
Poli,-3.3333,36.8,91.4,34,20,17.27,TZ,1614786844
Ol'ga,43.7444,135.2892,29.73,98,100,13.8,RU,1614786844
Puerto Ayora,-0.7393,-90.3518,82.99,74,20,4.61,EC,1614786550
Hong Kong,22.2855,114.1577,66.0,84,87,12.71,HK,1614786452
Muisne,0.6,-80.0333,82.47,68,26,2.86,EC,1614786845
Ryabovo,59.4,31.1333,35.6,80,90,11.18,RU,1614786845
Tilichiki,60.4667,166.1,28.31,100,100,13.56,RU,1614786625
Southbridge,42.0751,-72.0334,41.0,31,26,4.0,US,1614786846
Jamestown,42.097,-79.2353,39.99,69,90,12.33,US,1614786465
Bethel,41.3712,-73.414,42.01,28,1,11.5,US,1614786846
Peravurani,10.3,79.1833,75.45,69,0,8.61,IN,1614786847
Kavieng,-2.5744,150.7967,82.99,73,98,11.92,PG,1614786585
Mar del Plata,-38.0023,-57.5575,82.99,83,40,14.97,AR,1614786542
Atuona,-9.8,-139.0333,78.82,75,1,13.85,PF,1614786477
Vila Velha,-20.3297,-40.2925,88.0,66,40,13.8,BR,1614786344
Khani,41.9563,42.9566,39.2,100,90,6.91,GE,1614786848
Yangi Marg`ilon,40.4272,71.7189,46.4,66,96,4.61,UZ,1614786474
Atar,20.5169,-13.0499,87.96,11,100,14.83,MR,1614786528
Tuatapere,-46.1333,167.6833,53.01,80,64,15.01,NZ,1614786628
Teya,60.3778,92.6267,-14.87,94,71,3.44,RU,1614786586
Tokur,53.1333,132.9,0.48,97,100,3.29,RU,1614786694
Coos Bay,43.3665,-124.2179,43.0,93,90,4.61,US,1614786551
Norrtälje,59.758,18.705,42.01,76,99,10.0,SE,1614786849
Oak Harbor,48.2932,-122.6432,42.01,81,90,5.75,US,1614786600
Conceição do Araguaia,-8.2578,-49.2647,81.88,80,75,6.76,BR,1614786850
San Mateo del Mar,16.2,-95.0,79.3,63,0,29.24,MX,1614786850
Izberbash,42.5696,47.8645,41.0,81,57,4.47,RU,1614786850
Qaanaaq,77.484,-69.3632,18.7,88,95,19.1,GL,1614786544
Grand Gaube,-20.0064,57.6608,80.01,74,1,3.0,MU,1614786521
Peniche,39.3558,-9.3811,69.01,62,22,4.0,PT,1614786657
Zhangjiakou,40.81,114.8794,37.58,74,0,3.89,CN,1614786851
San Andrés,12.5847,-81.7006,84.2,65,40,12.66,CO,1614786801
Nyimba,-14.5566,30.8149,73.51,90,33,3.44,ZM,1614786852
Mehamn,71.0357,27.8492,28.4,64,40,21.85,NO,1614786620
Panshi,42.9422,126.0561,31.68,92,10,15.05,CN,1614786853
Kiryat Gat,31.61,34.7642,59.0,47,33,5.1,IL,1614786540
Lagoa,39.05,-27.9833,58.69,78,14,17.85,PT,1614786522
Tocopilla,-22.092,-70.1979,74.28,63,34,3.69,CL,1614786532
Saskylakh,71.9167,114.0833,-42.05,80,51,2.26,RU,1614786567
Halden,59.1226,11.3871,36.0,95,2,2.37,NO,1614786854
Eureka,40.8021,-124.1637,42.01,100,90,2.28,US,1614786854
Filingué,14.3521,3.3168,101.21,7,0,13.78,NE,1614786854
Thompson,55.7435,-97.8558,5.0,78,75,4.61,CA,1614786305
Talnakh,69.4865,88.3972,-24.18,73,3,9.48,RU,1614786605
Port Hardy,50.6996,-127.4199,42.8,87,90,24.16,CA,1614786306
Bambous Virieux,-20.3428,57.7575,80.01,83,20,3.44,MU,1614786495
Vila Franca do Campo,37.7167,-25.4333,59.0,82,40,14.97,PT,1614786558
Vermillion,42.7794,-96.9292,46.99,75,1,2.33,US,1614786760
Tuktoyaktuk,69.4541,-133.0374,-29.2,75,20,2.3,CA,1614786536
Voh,-20.9667,164.7,74.53,81,94,4.56,NC,1614786856
Svetlaya,46.5389,138.3297,19.98,78,100,12.24,RU,1614786856
Inhumas,-16.3578,-49.4961,84.2,51,40,9.22,BR,1614786824
Shache,38.4167,77.2406,44.55,53,59,2.35,CN,1614786608
Moberly,39.4184,-92.4382,53.01,37,1,10.36,US,1614786857
Severo-Kuril'sk,50.6789,156.125,13.62,92,98,37.85,RU,1614786527
Kumul,42.8,93.45,39.79,43,10,6.24,CN,1614786565
Sidi Ali,36.0998,0.4206,57.34,82,100,15.5,DZ,1614786858
Esperance,-33.8667,121.9,66.2,77,75,12.66,AU,1614786634
Kulebaki,55.4133,42.5325,26.89,90,99,7.38,RU,1614786666
Longyearbyen,78.2186,15.6401,10.4,61,20,5.75,SJ,1614786301
Kismayo,-0.3582,42.5454,79.16,77,100,14.18,SO,1614786859
Poso,-1.3959,120.7524,78.01,78,100,6.51,ID,1614786860
Novy Urengoy,66.0833,76.6333,2.26,93,100,20.33,RU,1614786860
Duluth,46.7833,-92.1066,35.01,69,1,4.61,US,1614786860
Lüderitz,-26.6481,15.1594,76.75,55,0,18.7,NA,1614786533
Yelovo,57.0538,54.9207,25.32,97,99,9.24,RU,1614786861
Pangnirtung,66.1451,-65.7125,-9.4,84,40,4.61,CA,1614786582
Kīhei,20.785,-156.4656,66.99,72,1,8.05,US,1614786861
Hohhot,40.8106,111.6522,26.6,68,0,4.47,CN,1614786861
Novoagansk,61.9449,76.6625,12.79,96,100,14.56,RU,1614786862
Lorengau,-2.0226,147.2712,82.74,76,100,14.52,PG,1614786686
Iqaluit,63.7506,-68.5145,-18.4,69,75,33.38,CA,1614786486
Belmonte,-15.8631,-38.8828,84.2,65,20,9.22,BR,1614786529
Yerbogachën,61.2767,108.0108,-35.43,82,18,2.08,RU,1614786862
Port Elizabeth,-33.918,25.5701,73.4,78,40,19.57,ZA,1614786581
Nakamura,32.9833,132.9333,41.04,83,13,3.51,JP,1614786863
Prince Rupert,54.3161,-130.3201,39.2,87,90,6.91,CA,1614786741
Isangel,-19.55,169.2667,78.8,100,90,5.75,VU,1614786864
Goshen,41.5823,-85.8344,43.0,65,1,8.05,US,1614786741
Narsaq,60.9167,-46.05,44.6,31,75,49.48,GL,1614786864
Touros,-5.1989,-35.4608,87.8,58,40,16.11,BR,1614786554
Chapais,49.7834,-74.8492,-5.8,65,1,8.05,CA,1614786865
Asaba,6.2006,6.7338,102.87,21,72,3.38,NG,1614786865
Vestmannaeyjar,63.4427,-20.2734,37.4,87,90,32.21,IS,1614786865
Port-Gentil,-0.7193,8.7815,86.0,79,40,11.5,GA,1614786576
Hobyo,5.3505,48.5268,79.81,75,1,17.92,SO,1614786680
Mahébourg,-20.4081,57.7,78.8,83,20,3.44,MU,1614786386
Asău,46.4333,26.4,50.0,53,0,3.44,RO,1614786540
Shingū,33.7333,135.9833,48.16,72,92,3.94,JP,1614786866
Cardston,49.2,-113.3019,37.4,55,99,1.14,CA,1614786621
Ilulissat,69.2167,-51.1,33.8,47,75,16.11,GL,1614786682
Santa Rosalía,27.3167,-112.2833,66.51,27,97,1.74,MX,1614786868
Saint-Pierre,-21.3393,55.4781,78.8,83,0,21.85,RE,1614786870
Aubenas,44.6201,4.3899,55.0,57,99,3.71,FR,1614786819
Yumen,40.2833,97.2,38.28,55,37,8.34,CN,1614786645
Cabo San Lucas,22.8909,-109.9124,68.0,32,75,3.44,MX,1614786866
Dunedin,-45.8742,170.5036,55.99,80,51,8.99,NZ,1614786680
Morondava,-20.2833,44.2833,82.94,74,36,6.8,MG,1614786871
Butaritari,3.0707,172.7902,81.19,82,3,16.44,KI,1614786872
Awjilah,29.1081,21.2869,64.92,27,0,11.25,LY,1614786699
Mahabalipuram,12.6264,80.1722,80.6,65,0,4.61,IN,1614786603
Xingcheng,40.6167,120.7167,36.19,83,0,14.58,CN,1614786873
Bac Lieu,9.285,105.7244,78.93,79,35,16.26,VN,1614786665
Iracoubo,5.4802,-53.2011,79.68,79,99,13.4,GF,1614786873
Angoche,-16.2325,39.9086,79.65,87,94,5.91,MZ,1614786874
Cidreira,-30.1811,-50.2056,83.37,63,92,6.44,BR,1614786485
Ojinaga,29.5667,-104.4167,54.0,37,1,2.1,MX,1614786874
Cherskiy,68.75,161.3,-22.18,85,63,6.62,RU,1614786517
Georgiyevka,43.0369,74.7114,32.0,100,90,4.47,KZ,1614786875
Turinsk,58.0458,63.696,24.37,95,100,7.36,RU,1614786875
Sucúa,-2.4667,-78.1667,71.6,88,75,4.61,EC,1614786876
Sangar,63.9242,127.4739,-23.93,86,100,6.8,RU,1614786876
La Ciotat,43.1748,5.6045,57.99,59,95,2.8,FR,1614786876
Andapa,-14.65,49.65,72.05,98,79,1.41,MG,1614786876
Najrān,17.4924,44.1277,86.0,14,0,13.8,SA,1614786877
Songea,-10.6833,35.65,75.2,83,75,3.09,TZ,1614786877
Kuvshinovo,57.0295,34.1725,31.3,97,100,11.52,RU,1614786877
Kingsburg,36.5138,-119.554,44.6,61,1,4.61,US,1614786688
North Bend,43.4065,-124.2243,43.0,93,90,4.61,US,1614786369
Beyneu,45.3167,55.2,40.57,72,74,13.15,KZ,1614786878
Nemuro,43.3236,145.575,19.8,64,0,5.84,JP,1614786878
Saint-Augustin,51.226,-58.6502,22.91,93,100,15.26,CA,1614786878
Dingcheng,32.1272,115.0394,47.5,78,100,7.31,CN,1614786879
Ostrovnoy,68.0531,39.5131,18.18,95,100,7.36,RU,1614786879
Panama City,8.9936,-79.5197,87.01,58,20,10.36,PA,1614786753
Kandrian,-6.2167,149.55,81.21,77,100,19.37,PG,1614786880
Togur,58.3631,82.8265,9.45,95,100,11.45,RU,1614786880
Kavaratti,10.5669,72.642,82.71,69,0,6.42,IN,1614786596
Adrar,20.5022,-10.0711,85.24,12,99,11.3,MR,1614786580
Katangli,51.7102,143.2326,-0.51,90,40,5.86,RU,1614786881
Sitka,57.0531,-135.33,35.6,87,90,3.44,US,1614786388
Vyazemskiy,47.5378,134.7525,19.22,96,100,6.35,RU,1614786881
Tynset,62.2759,10.7824,28.4,74,90,18.41,NO,1614786882
Meadow Lake,34.8014,-106.5436,45.0,35,1,4.85,US,1614786882
Alenquer,-1.9417,-54.7383,75.2,94,75,2.3,BR,1614786882
St. George's,12.0564,-61.7485,86.0,54,20,19.57,GD,1614786882
Baykit,61.67,96.37,-28.79,79,19,2.17,RU,1614786883
Lavrentiya,65.5833,-171.0,-17.63,83,0,5.26,RU,1614786635
Hasaki,35.7333,140.8333,37.4,75,40,3.44,JP,1614786536
Sambava,-14.2667,50.1667,79.72,80,15,4.27,MG,1614786683
Padina,45.1181,20.7272,60.8,27,0,1.52,RS,1614786884
Kushiro,42.975,144.3747,18.93,78,60,1.97,JP,1614786884
Nahrin,36.0649,69.1334,49.19,54,25,0.83,AF,1614786884
Miyako,39.6367,141.9525,32.16,95,92,4.03,JP,1614786884
Łapy,52.9911,22.8842,37.0,77,2,7.67,PL,1614786863
Tombouctou,20.0,-3.0,89.56,11,0,8.95,ML,1614786885
Durango,24.8333,-104.8333,64.74,26,67,0.87,MX,1614786712
Chumikan,54.7183,135.315,-1.8,93,100,1.05,RU,1614786886
Berlevåg,70.8578,29.0864,28.4,64,40,21.85,NO,1614786542
Odienné,9.51,-7.5692,102.0,18,9,3.58,CI,1614786886
Ivanava,52.1451,25.5365,36.23,72,0,5.75,BY,1614786886
Buenos Aires,-34.6132,-58.3772,84.99,69,40,11.5,AR,1614786591
Nikolskoye,59.7035,30.7861,36.0,80,90,11.18,RU,1614786476
Dumas,35.8656,-101.9732,52.0,23,1,6.91,US,1614786887
Mango,27.9797,-82.3065,69.01,83,90,10.36,US,1614786887
Montepuez,-13.1256,38.9997,74.26,96,100,3.65,MZ,1614786888
Pevek,69.7008,170.3133,-21.15,85,28,1.95,RU,1614786520
Farafangana,-22.8167,47.8333,79.03,79,32,6.15,MG,1614786888
Hofn,64.2539,-15.2082,32.0,74,90,9.22,IS,1614786888
Fort-Shevchenko,44.5086,50.263,36.91,81,100,15.23,KZ,1614786889
East London,-33.0153,27.9116,68.0,94,90,12.66,ZA,1614786474
Luga,58.7372,29.8453,35.87,84,96,10.6,RU,1614786889
Hamilton,39.1834,-84.5333,50.0,51,0,1.01,US,1614786629
Thunder Bay,48.4001,-89.3168,24.01,74,90,6.91,CA,1614786828
Aklavik,68.2191,-135.0107,-23.8,76,100,4.61,CA,1614786654
Alice Springs,-23.7,133.8833,87.01,26,0,5.75,AU,1614786570
Charter Township of Clinton,42.587,-82.9199,45.0,65,1,10.36,US,1614786890
Nouadhibou,20.931,-17.0347,80.6,28,0,20.71,MR,1614786526
Codrington,-38.2667,141.9667,57.47,70,96,8.03,AU,1614786613
Dakar,14.6937,-17.4441,77.0,47,0,11.5,SN,1614786891
Gboko,7.3179,8.9951,102.56,8,96,10.87,NG,1614786892
Teguise,29.0605,-13.564,71.6,53,20,17.27,ES,1614786892
Dzhebariki-Khaya,62.2167,135.8,-19.84,86,100,1.52,RU,1614786892
Ambanja,-13.6833,48.45,84.2,89,40,4.61,MG,1614786893
Encruzilhada do Sul,-30.5439,-52.5219,80.24,70,100,4.23,BR,1614786893
Fairbanks,64.8378,-147.7164,0.0,78,90,2.46,US,1614786558
Bonnyville,54.2668,-110.735,14.0,85,75,3.44,CA,1614786894
Ambovombe,-25.1667,46.0833,77.09,84,90,14.34,MG,1614786618
Ortigueira,-24.2083,-50.9494,73.99,92,99,3.78,BR,1614786894
Alofi,-19.0595,-169.9187,75.2,94,100,5.75,NU,1614786602
Chengzhong,30.95,113.55,48.2,87,77,4.47,CN,1614786895
Padang,-0.9492,100.3543,75.2,94,40,1.14,ID,1614786616
Hillsboro,45.5229,-122.9898,37.0,1,6,0.89,US,1614786693
Omsukchan,62.5333,155.8,-17.41,86,100,6.44,RU,1614786896
Rock Sound,24.9,-76.2,76.42,78,93,16.44,BS,1614786896
Ugoofaaru,5.6667,73.0,83.26,66,100,8.84,MV,1614786896
